"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.012415554241028018,0.0,0.0,0.0,0.0018632885976989394,0.0,0.10066589133060043,0.049999669355473605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0174189836430124,0.0,0.0,0.05000006993372371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,6.690065677002805E-5,0.0,0.0,0.01862746979676963,0.0,0.0,0.050000158679470774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,7.591497181527088E-4,0.0,0.0,0.018526543019245605,0.0,0.0,0.05000165709352006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.335028030599814,0.010770221737422333,0.0,0.0,0.017402149177853245,0.0,0.2805791641605324,0.049960076627746416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,1.2385924431542215,0.17830158611576677,0.0,0.0,0.013417067851512591,0.0,0.27442514109674965,0.04944678979162404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.6411618813649359,0.11204863779139942,0.0,0.0,0.010120475309178933,0.0,0.13852582892846438,0.04968841086224133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.07721992176827044,0.0,0.0,0.015435806016921138,0.0,0.0,0.04984264682270036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.0687632843488432,0.0,0.0,0.016006447155234218,0.0,0.0,0.0499647627368907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.08051950009443702,0.0,0.0,0.016250588703922948,0.0,0.0,0.0499992923752602,0.0,0.0,3.572146320403218E-8,0.0,0.0,0.0,0.0,
1.0,1.7714631417618592,0.1797230406715199,0.22635493828367742,0.0,0.01607621374645911,0.01581254699285105,0.31092201953828746,0.04980729095309261,0.049999764273280886,0.0,1.4618832173026859E-6,0.0,0.0,0.0,0.0,
1.0833334,1.6822549913840898,0.2850815449551384,0.19766671740033465,0.0,0.011323622528229696,0.01462063911822169,0.3045770609088222,0.04927682558578109,0.04997869127311931,0.0,1.7797351191212253E-6,0.0,0.0,0.0,0.0,
1.1666666,0.6512289866672295,0.41747947749385167,0.33325853775946696,0.0,0.00937902579952312,0.01527660997644523,0.1391978089672185,0.049123818418688237,0.04984568148092933,0.0,3.4118854255007187E-6,0.0,0.0,0.0,0.0,
1.25,0.0,0.3674557300881257,0.24760020756554524,0.0,0.016293976240054353,0.01272726693362641,0.0,0.04968734287297776,0.04974934573869622,0.0,8.620008128687282E-6,0.0,0.0,0.0,0.0,
1.3333334,0.0,0.31680259282334716,0.47292419813363973,0.0,0.014806470987683255,0.010488999859248904,0.0,0.050024342013795534,0.04971595441863596,0.0,1.2235838482427784E-5,8.067455376265175E-6,0.0,0.0,0.0,
1.4166666,0.0,0.4042697356025845,0.36673660074873227,0.0,0.014318427882871427,0.010406996299879706,0.0,0.04990440854057279,0.04988091822847698,0.0,8.171417541168528E-6,5.655086666549152E-5,0.0,0.0,0.0,
1.5,1.9034247738459216,0.593970318791089,0.42135199811344115,0.0,0.01344362608561541,0.010787968444561874,0.3203909761807056,0.05005180193454521,0.04985281951447944,0.0,6.035093823253334E-6,7.247944363917316E-5,0.0,0.0,0.0,
1.5833334,1.0902160016832456,0.5216425388160486,0.3018077944122428,0.0,0.010733622885297753,0.01068788812583802,0.2644782698566628,0.04825366878374689,0.049897499314721136,0.0,2.50436548558245E-5,1.2028826050401354E-4,0.0,0.0,0.0,
1.6666666,0.7887770700575906,0.7160989202972174,0.39764503345815305,0.0,0.00837821872350335,0.007517267052483961,0.14858330340137504,0.04736778932842294,0.049936777491223154,0.0,5.061757123835522E-5,1.7286218073360042E-4,0.0,0.0,0.0,
1.75,0.0,0.2560938903586737,0.3714613263799964,0.0,0.011574482747812236,0.00676754724397907,0.0,0.049499857815461,0.04973275792148413,0.0,9.963019802351197E-5,2.5158467985692646E-4,0.0,0.0,0.0,
1.8333334,0.0,0.07408441245291048,0.28235181301782175,0.0,0.011739803611160032,0.007160081995680972,0.0,0.04996933931917538,0.05003407272424897,0.0,8.73658133133647E-5,4.012153984486444E-4,0.0,0.0,0.0,
1.9166666,0.0,0.20523311122449955,0.3987508129126042,0.0,0.01129561301386826,0.011896711740922732,0.0,0.049935161329823737,0.04967758723935904,0.0,7.164697869767122E-5,6.083252754527922E-4,0.0,0.0,0.0,
2.0,0.917329028904954,0.6270912060269241,0.3343749695845339,0.0,0.007485679804688481,0.012654578095146871,0.2535773414316761,0.04778500084253296,0.04965622560592317,0.0,1.9382018362336204E-6,5.682250138732359E-4,0.0,0.0,0.0,
2.0833333,1.0768451364513656,1.1102864352915307,0.24435962687996382,0.0,0.002060228309110173,0.014509559629367293,0.26357568819852284,0.045696408675835895,0.049239503034699275,0.0,1.43625677718198E-6,8.222707105251685E-4,0.0,0.0,0.0,
2.1666667,0.7268672564222717,1.0558606785716624,0.2506203269756999,0.0,8.618431280421913E-4,0.014596324463564951,0.14431200211795275,0.04730468013112367,0.04974482568140884,0.0,7.230520476725299E-6,0.0011182519620263729,0.0,0.0,0.0,
2.25,0.0,1.194334262026508,0.10356826873061636,0.0,0.005701470162310118,0.014304285265795275,0.0,0.048495861481658194,0.04978895228661043,0.0,1.9790517294593962E-5,0.0013190926357762303,0.0,0.0,0.0,
2.3333333,0.0,0.25904171578072643,0.0579879752848937,0.0,0.009381223759323824,0.011495914199721352,0.0,0.049710442179836486,0.04993706324886148,0.0,1.3185409473964456E-4,0.0015961433449044656,0.0,0.0,0.0,
2.4166667,0.0,0.07494228848344725,0.09211659793508561,0.0,0.01060194029885844,0.009518289578875447,0.0,0.04997197665764307,0.04994063934184735,0.0,1.5063197429294187E-4,0.0018303069157875641,0.0,0.0,0.0,
