"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.739811,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.584404,NaN
0.5833333,107.00165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.828778,NaN
0.6666667,109.03178,NaN,NaN,NaN,NaN,NaN,NaN,10.421876,NaN,13.125759,NaN
0.75,109.11477,8.729427,9.921925,NaN,NaN,NaN,9.956898,10.89853,NaN,13.790299,12.180241
0.8333333,109.11024,9.304276,10.048902,NaN,NaN,12.356633,9.447427,11.830223,NaN,15.154925,12.933232
0.9166667,109.10969,9.701829,10.428553,NaN,NaN,13.929002,9.415776,12.645934,51.219803,16.008778,13.424494
1.0,109.109024,10.197169,10.119836,NaN,10.342512,12.653766,9.433225,13.08803,51.417362,16.721983,12.9562435
1.0833334,106.836006,10.750243,10.399709,12.454109,10.08639,13.08412,9.606104,13.45739,51.411808,17.66169,13.522496
1.1666666,104.78598,11.094539,11.048985,12.203701,9.636064,14.226218,9.6291275,13.525079,51.879223,18.674051,13.950004
1.25,103.30005,10.822441,10.9788,12.638371,10.056915,15.059013,10.134956,13.622746,52.27703,18.963257,13.787634
1.3333334,102.824425,10.334097,11.024316,13.530019,10.5744505,11.674707,10.565105,13.751147,52.781036,19.167953,13.940259
