"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,5507.5005,0.0,9677.708,0.0,0.0,0.0,0.0,0.0,7.8316727,0.0,0.0,0.0,1566.4102,0.0,0.0,0.0,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,20507.691,0.0,25252.008,0.0,0.0,0.0,1.4042411,0.0,193.40634,0.0,0.0,0.0,7563.4976,0.0,9.660075,0.0,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
0.33333334,184.57762,0.0,9.3194275,0.0,20034.977,0.0,31528.568,0.0,27340.807,0.0,0.0,0.0,182.8982,0.0,1436.1481,0.0,6393.7974,0.0,11562.385,0.0,704.77527,0.0,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
0.41666666,4788.1978,0.0,941.4236,0.0,23662.742,0.0,34165.13,0.0,26431.648,0.0,1206.6101,0.0,1936.6301,0.0,6441.3994,0.0,8571.96,0.0,14983.892,0.0,5292.609,0.0,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
0.5,25864.43,0.0,9061.568,0.0,26892.695,0.0,33974.504,0.0,24996.88,0.0,8224.506,0.0,4468.5493,0.0,19556.734,0.0,8526.079,0.0,17455.334,41.062424,15874.127,0.0,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
0.5833333,41862.42,33213.73,35086.117,0.0,37463.516,0.0,32923.777,0.0,25375.86,0.0,14577.297,0.0,6412.126,0.0,37707.33,0.0,8630.411,0.0,18938.58,202.32271,26148.414,0.0,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
0.6666667,1570.4437,120397.8,73030.01,0.0,47744.195,0.0,32981.496,0.0,38150.35,0.0,16021.415,0.0,8002.1406,0.0,53369.15,3789.5046,8831.641,0.0,20368.69,615.6876,32992.258,127.039825,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
0.75,0.0,109571.266,103183.164,4845.417,54832.355,2211.5125,34056.19,0.0,43714.19,0.0,16475.443,0.0,8559.216,5.8793677E-5,50867.58,26210.438,9081.272,0.0,21332.365,1223.3701,34040.26,4692.188,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
0.8333333,912.02985,88151.79,103277.51,28776.191,62313.51,10131.241,34278.914,0.0,43692.457,0.0,16416.066,0.00447309,8774.871,18.25651,52177.41,45985.074,15713.593,0.0,20695.598,2702.855,33632.914,9458.98,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
