"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,3.1561205,3.073552,NaN,NaN,3.668975,NaN,3.209634,NaN
0.6666667,NaN,NaN,NaN,3.0815263,3.0550754,NaN,NaN,3.6511192,NaN,3.2326427,NaN
0.75,3.7412865,NaN,3.6770508,3.0948129,3.0810823,NaN,3.0501401,3.6848426,4.1812887,3.3164907,3.6023295
0.8333333,3.745364,3.6645741,3.702914,3.0955036,3.102382,3.069546,3.069584,3.6487858,4.079193,3.4298666,3.58358
0.9166667,3.7032175,3.5555952,3.6267886,3.0857747,3.0690148,3.0528061,3.0729177,3.6452959,4.0595756,3.5012577,3.6586618
1.0,3.730625,3.5339706,3.5740333,3.0755768,3.0835876,3.0559757,3.0665092,3.6338835,4.0551977,3.5859387,3.665504
1.0833334,3.7450788,3.519984,3.5542412,3.1243215,3.2125766,3.1163385,3.101389,3.6295297,3.9581685,3.7242906,3.609677
1.1666666,3.6926804,3.5334623,3.5433412,3.0702794,3.1105602,3.1336,3.0930915,3.6112144,4.04338,3.7677667,3.6137307
1.25,3.6964567,3.5330324,3.5033407,3.034505,3.1793175,3.21649,3.1517618,3.5934618,3.9968915,3.868694,3.613571
