"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27452025,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8228749,0.0
0.5833333,457.21463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4835694,0.0
0.6666667,1364.2048,0.0,0.0,0.0,0.0,0.0,0.0,230.49251,0.0,7.8332844,0.0
0.75,1132.2172,183.3221,130.83153,0.0,0.0,0.0,4.0975067E-8,1574.927,0.0,16.514982,10.152782
0.8333333,911.4863,1091.2876,515.84393,0.0,0.0,2.3807208E-4,0.009971991,2681.584,0.0,30.7607,56.420757
0.9166667,734.0372,2289.6626,1397.9802,0.0,0.0,6.518046E-4,0.041616052,3613.3223,3.5951297,50.555733,123.33297
1.0,591.6381,2859.9526,1797.4642,0.0,0.06075413,0.0058559272,0.064405896,4729.7397,22.580061,75.92407,377.04272
1.0833334,781.88556,3245.4624,2092.9294,1.1221189E-5,2.6864364,0.26938775,0.08024514,5888.636,43.86485,106.53271,512.21844
1.1666666,1837.6533,3673.146,2405.623,0.006974603,14.552491,0.4199142,0.17896393,6671.9395,62.222404,141.23119,637.0244
1.25,2072.6267,4300.9214,2792.007,0.043852873,23.627745,0.46768537,0.21856198,7225.5415,72.56471,183.06398,794.2602
1.3333334,1810.4215,5369.122,3759.8118,0.10770161,29.676897,5.393057,0.25744393,7636.1045,78.85989,214.52899,868.50653
1.4166666,1356.6606,6313.816,4682.9907,0.21497561,43.68924,15.258528,0.43259677,8019.749,85.49902,247.20247,866.72504
1.5,1119.3779,6577.0977,4462.442,0.39074963,55.135456,18.44425,0.48661944,8083.7373,90.94261,272.21628,896.84827
1.5833334,1153.3188,6862.453,4695.4453,0.6223103,64.50959,24.70104,0.51808655,8158.4497,94.21343,288.06903,1032.7015
1.6666666,2057.134,7298.9443,4804.9126,3.3918998,70.03736,36.950764,0.5508657,8114.5864,101.047226,300.55057,1177.9984
1.75,2157.0469,7586.01,4811.376,4.066939,68.82505,39.047913,0.5649959,7875.8164,107.15082,309.10312,1158.3296
1.8333334,1805.8523,7953.967,4967.7935,4.369467,70.35494,44.79071,0.6134622,7714.105,111.96461,319.3222,1216.0342
1.9166666,1325.9917,8566.186,4694.4346,6.0823984,72.07906,53.38678,0.62654054,7615.09,113.5118,329.26306,1281.7686
2.0,1240.3752,8841.719,4455.0835,6.8624315,77.201385,52.676712,0.6260215,7548.258,114.136604,336.96542,1303.8855
2.0833333,1161.1617,9317.735,4514.382,8.89736,81.00487,50.84304,0.6328123,7347.2744,114.96958,340.73007,1402.5419
2.1666667,1806.5466,9573.905,4279.529,10.899879,82.748436,52.70109,0.7107973,7266.6704,112.31795,340.02185,1453.2609
2.25,2088.1357,9688.1045,4435.9116,11.493008,82.756355,54.094387,0.74470735,7140.8506,110.67106,335.96167,1568.1942
2.3333333,1810.2439,9953.475,4323.662,11.874765,86.68512,53.52368,0.78932905,7001.594,107.287704,332.13446,1727.5889
2.4166667,1201.2897,10113.185,4221.0654,14.104535,88.6048,57.85862,0.8809657,6924.853,107.86587,330.2829,1950.1534
2.5,1054.2656,10238.204,3511.4844,19.35462,91.057846,68.06443,0.89321274,6862.4253,104.866806,329.53278,2105.3845
2.5833333,1029.7708,10454.344,3381.282,19.954134,98.09098,70.421265,0.9188528,6750.59,101.87915,327.21454,2177.6235
2.6666667,1297.9037,10579.563,2979.5715,20.751467,114.40107,74.081184,0.9826902,6551.732,101.9661,327.46448,2295.0496
2.75,1555.1617,10645.881,2381.5366,20.658453,120.89883,84.63035,0.9805471,6462.825,100.74097,324.4777,2390.8867
2.8333333,1351.3795,10684.794,2194.3445,20.92288,124.64779,87.14839,0.9900918,6218.7104,98.910614,319.94385,2487.451
2.9166667,844.96484,11086.551,2646.8735,21.483685,129.67911,89.58084,0.98993576,6115.7803,97.41085,315.5633,2589.416
3.0,770.4123,11351.027,2512.6104,21.263765,134.67955,96.70958,1.0176008,5998.201,95.468346,312.46698,2713.3696
3.0833333,845.04913,11457.312,2496.661,21.04555,127.964935,103.77923,1.028113,5883.2637,92.08033,312.77823,2825.0764
3.1666667,1438.0417,11391.152,2462.1638,20.570478,129.23901,109.51736,1.069793,5853.304,88.75831,308.91647,2813.7493
3.25,1664.6931,11305.005,2783.5122,19.893791,127.32969,106.56112,1.060224,5767.307,86.595856,303.1391,2921.2
3.3333333,1520.3497,9365.313,3222.9102,19.320673,131.28888,105.881516,1.0776541,5661.569,83.731094,295.36325,3029.1724
3.4166667,979.99274,7075.7505,3498.2922,19.486496,144.53355,111.19193,1.1032416,5622.063,80.783714,289.86926,3088.5813
3.5,816.9274,5873.899,3517.1926,19.909399,156.9662,109.68388,1.1243366,5574.214,78.17275,285.72406,3118.9019
3.5833333,832.61945,5854.6167,3447.2876,20.935848,164.67752,117.49,1.1244404,5515.6978,78.68145,282.0295,3131.3713
3.6666667,1043.4036,5808.2544,3332.9973,21.007109,164.12369,122.58382,1.0985286,5378.0137,78.34989,278.92276,3163.469
3.75,1201.8818,5780.4077,3126.7925,20.346737,157.73628,122.145744,1.0821489,5336.906,76.2451,276.50827,3179.881
3.8333333,1153.3396,5546.062,3076.6716,21.998116,150.612,120.95686,1.1243596,5279.7285,73.39244,275.71103,3232.5984
