"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.005218331499999961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,0.0,0.0,0.0,0.004493005772852621,0.0,0.005218331499999958,0.03900845184940338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.0,0.0,0.0,0.013051944873720646,0.0,0.0,0.039008070320520546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.0,0.0,0.0,0.0,0.009078546271993082,0.0,0.0,0.03900840530802571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.0,0.0,0.0,0.008219277205712902,0.0,0.0,0.039008168491104944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.0,0.0,0.0,0.006155837718332325,0.0,0.0,0.039007928585055404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.0,0.0,0.0,0.005996126480810118,0.0,0.005218331499999961,0.039008534620973354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.0,0.0,0.0,0.0045593774669203035,0.0,0.005218331499999958,0.0390082335480427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.0,0.0,0.0,0.008492561358816167,0.0,0.0,0.039007769601057604,0.0,0.0,2.701171554156179E-4,0.0,0.0,0.0,0.0,
1.0,0.0,0.0,0.0,0.0,0.008872836244988875,0.0,0.0,0.039008149577627896,0.0,0.0,0.0012104671733689015,0.0,0.0,0.0,0.0,
1.0833334,0.0,0.0,0.0,0.0,0.008903566203682144,0.0,0.0,0.039008134234405537,0.0,0.0,0.002497665698879256,0.0,0.0,0.0,0.0,
