"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,1.1492332,1.3381631,NaN,NaN,7.934041,NaN,3.5896487,NaN
0.6666667,NaN,NaN,NaN,1.1704919,1.4067309,NaN,NaN,8.955545,NaN,3.5385685,NaN
0.75,107.22658,NaN,0.64183974,1.2427305,1.4481397,NaN,3.742571,6.729805,46.481514,3.6060503,6.8426394
0.8333333,109.22397,6.671006,0.7029755,1.3726233,1.4782597,1.838773,2.2715409,7.0745893,47.028645,3.6218312,7.0065713
0.9166667,109.29158,7.0362625,0.87228245,1.4548093,1.4816387,2.018935,2.5157883,7.625632,48.011444,3.5974238,7.424772
1.0,109.291466,7.3129354,1.1178849,1.5037363,1.5572329,2.1673558,2.6866868,8.088659,48.846157,3.6573148,7.7318044
1.0833334,109.291466,7.5215616,1.4559261,1.5866467,1.5995845,2.326485,2.760497,8.255871,49.710453,3.7757483,8.208589
1.1666666,109.291466,7.72212,2.7124274,1.7750484,1.6944487,2.5479193,2.959905,8.663385,50.637074,4.0677114,8.626345
1.25,81.405235,7.9263816,4.4502482,2.0714488,1.8902729,2.9096386,3.0723832,8.9078,50.05922,4.3612638,8.987332
