"Mean biomass (tons), excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5833333,0.0,0.0,0.0,1427.7593,7218.0854,0.0,0.0,2991.5486,0.0,1091.5804,0.0
0.6666667,0.0,0.0,0.0,6690.867,18046.82,0.0,0.0,22892.156,0.0,4702.8345,0.0
0.75,23567.783,0.0,1181.8467,10903.648,16799.338,0.0,1317.5133,60647.426,2236.4604,9090.25,23126.812
0.8333333,71410.03,54004.277,17634.943,10547.53,15422.681,1711.1726,3960.4426,97350.36,9657.937,13313.654,52741.742
0.9166667,59012.637,128622.586,23623.29,7961.1265,12372.063,8068.532,5452.687,118104.08,9831.776,17337.6,66630.08
1.0,47567.33,162915.19,61905.49,5239.298,12558.945,8541.954,5506.115,139082.89,9870.637,19487.758,71181.195
1.0833334,38343.42,179956.16,80882.84,4803.3364,14015.963,7748.273,5121.9966,161476.7,9877.137,22705.254,78496.92
1.1666666,30908.145,193911.44,85545.12,4019.5774,12863.571,6927.3105,4352.991,171200.67,9901.712,25755.14,80796.57
1.25,86349.48,207613.08,90134.195,3158.193,10670.187,6398.255,3980.7185,177360.73,11918.568,26913.838,82613.164
1.3333334,200685.14,238906.86,113709.82,2413.3684,9589.33,6431.23,3406.9277,181060.45,18760.104,28524.422,85400.4
1.4166666,166668.52,254278.64,118367.83,2124.7166,8074.029,8196.572,2973.4192,185551.97,18472.186,29523.105,85297.23
1.5,144174.02,264690.6,126608.19,2059.2412,7666.7095,7911.9575,2799.579,184085.92,18008.117,31208.93,85818.77
1.5833334,124487.805,269949.9,137461.94,2193.839,7367.1924,6980.402,2546.7146,180548.05,17517.287,32335.186,85861.38
1.6666666,106377.945,274867.25,131714.81,2213.9236,6497.2393,6164.9297,2335.2532,176868.28,16897.238,33156.67,85754.08
1.75,142806.48,278750.9,120483.86,2284.1765,5735.9727,5811.7197,2046.5526,172980.55,18185.148,34276.703,87193.06
1.8333334,274627.1,297110.12,125048.22,2046.8104,4861.0757,5520.0015,1854.9679,171470.39,23383.316,33591.383,89712.58
1.9166666,210329.6,308299.34,120030.07,1976.1721,3977.545,5408.25,1756.6235,171135.66,22339.023,34182.72,91774.97
2.0,185426.4,322678.5,111059.375,1897.6794,3487.9258,5029.6045,1795.639,167616.84,21340.572,35106.312,92870.76
2.0833333,161947.8,325766.53,105847.414,1963.7937,3260.7869,4628.6,1670.479,166174.02,20375.207,35656.6,93631.2
2.1666667,144150.86,325530.12,97441.99,1902.9181,3087.319,4299.1294,1592.9338,166091.8,19405.379,35336.965,93654.63
2.25,175457.64,324997.72,89049.06,1860.2338,3027.9714,4056.08,1579.4901,164694.67,20085.064,34818.77,94811.98
2.3333333,270173.12,327835.6,89529.7,1923.3468,2882.349,4159.5215,1637.9355,162105.73,24266.07,34293.293,97163.6
2.4166667,187693.7,333797.78,84074.945,1962.3724,2806.33,4752.435,1634.4869,160816.58,23125.602,33934.645,98379.336
2.5,161894.39,336876.38,70116.72,1958.3052,3053.6458,4989.782,1728.9817,160874.8,21971.56,34080.53,99451.78
2.5833333,143094.27,338131.06,64591.19,1938.0044,3478.899,5146.789,1722.0984,159368.2,20856.61,34026.59,99719.414
2.6666667,127612.89,337428.3,56708.656,1897.5211,3744.1301,5106.1533,1692.5077,156417.33,19840.453,33576.69,99722.48
2.75,172839.48,333596.8,46992.87,1855.2567,3609.0938,4928.5557,1812.2286,152792.67,20519.469,33355.133,99974.48
2.8333333,301386.03,329867.6,61484.445,1841.4349,3498.6055,5023.499,1987.9769,150882.98,24564.717,32967.92,100073.26
2.9166667,229524.2,330600.16,58760.066,1851.0857,3353.9973,5412.6724,1966.5826,151803.44,23392.777,32695.658,100983.14
3.0,202869.52,332892.12,70301.17,1835.7576,3407.7678,5137.8545,1899.6445,149634.14,22275.111,32626.336,101072.46
3.0833333,184339.22,327952.47,77309.57,1791.0046,3762.9136,4922.078,1847.8528,146791.61,21256.559,33328.562,100363.14
3.1666667,166472.61,322481.44,77874.45,1728.8337,4016.84,4723.9136,1761.1677,145614.03,20223.834,34100.848,99660.88
3.25,191985.31,316538.94,78284.42,1669.2202,3640.005,4592.4766,1740.7572,144464.19,20816.79,33574.02,99075.55
3.3333333,265987.4,254964.75,92602.875,1628.378,3553.0608,4685.3315,1940.4146,142471.02,24770.883,33470.31,100299.05
3.4166667,170062.86,189877.0,90427.766,1639.1893,3428.878,5341.7783,2045.3478,141665.19,23541.492,32890.832,100823.19
3.5,150312.05,179982.5,91670.18,1650.7262,3531.1501,5312.095,2241.7217,141404.23,22422.617,32672.645,101320.14
3.5833333,133328.64,186091.78,93415.45,1636.798,4695.728,5350.8486,2199.4617,139651.84,21386.156,32600.707,101435.39
3.6666667,118652.44,188691.5,88128.33,1614.811,5084.9604,5102.1987,2172.2002,138028.48,20566.078,32549.305,101183.5
3.75,161005.75,188629.1,79631.28,1587.4678,4787.309,4920.958,2141.36,135737.58,21366.104,32012.285,101090.195
3.8333333,270897.56,177413.86,76229.055,1557.054,4512.8506,4967.6313,2687.6458,135755.34,25577.957,31728.2,102011.31
3.9166667,194252.28,177535.9,74257.195,1545.8776,4219.2476,7468.7803,2668.5583,139017.1,24469.088,31452.324,103431.57
4.0,172549.48,187149.19,79190.36,1528.0813,4044.1865,7289.922,2534.1873,140794.02,23401.08,31881.844,103813.14
