"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.11071371245134734,0.13548541705907002,0.0,0.0,0.0,0.0,0.4630485839106887,0.03122855124066225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.3886064269872763,0.16933217313448745,0.0,0.0,0.0019198655743308877,0.0,0.979606218664623,0.06489222605126634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.4080307455410479,0.07801385417490908,0.0,0.0,0.002196241733819387,0.0,0.9862825000604711,0.06580510585552449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.12307798937578843,0.12278458957568045,0.0,0.0,0.0037021723540843904,0.0,0.4669235825335301,0.0655403014142046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.02042803015455126,0.0,0.0,0.006652396018791058,0.0,0.0,0.06655471134796942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.01321538131540394,0.0,0.0,0.009817960057514497,0.0,0.0,0.06663877964755865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.29989799194965067,0.017831248201975985,0.0,0.0,0.012183613376418125,0.0,0.5255061884752625,0.0665859213698353,0.0,0.0,2.4742328937795925E-8,0.0,0.0,0.0,0.0,
0.8333333,0.7637272456795621,0.04668320519972953,0.0,0.0,0.01250749188068254,0.0,1.1113774208231995,0.06652290741707237,0.0,0.0,5.060539402776793E-8,0.0,0.0,0.0,0.0,
0.9166667,0.8703417808555793,0.042265783060120035,0.0,0.0,0.01474737850916845,0.0,1.1488896206774952,0.06658481681576121,0.0,0.0,5.333169205961618E-8,0.0,0.0,0.0,0.0,
1.0,0.28512684352839496,0.12644132012132284,0.0,0.0,0.013800210457708566,0.0,0.5203816851363171,0.06646703858755194,0.0,0.0,8.863306809549744E-8,0.0,0.0,0.0,0.0,
1.0833334,0.0,0.1662598724496403,0.0,0.0,0.014049257346054573,0.0,0.0,0.0665133103083296,0.0,0.0,2.141884981681012E-7,0.0,0.0,0.0,0.0,
