"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9997563,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7571216,NaN
0.5833333,3.8565795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6563847,NaN
0.6666667,3.7520237,NaN,3.9040618,NaN,NaN,NaN,NaN,3.6696362,NaN,3.6996543,NaN
0.75,3.7495284,3.507485,4.102988,NaN,NaN,NaN,3.1131577,3.6657965,NaN,3.766367,3.5753021
0.8333333,3.7471716,3.627258,4.0226693,NaN,NaN,NaN,3.4245665,3.6592202,NaN,3.8113048,3.9070137
0.9166667,3.757355,3.5759273,3.7559104,NaN,3.0,3.7463672,3.9979768,3.6943383,4.189132,3.8555324,3.5624049
1.0,3.8118052,3.5540612,3.7651186,NaN,3.0000036,3.2288544,3.0001726,3.659732,4.272816,3.8254921,3.7260098
1.0833334,3.772764,3.5870845,3.5606236,3.0320358,3.078079,3.2893353,3.0755377,3.640023,4.0668597,3.9188864,3.6601748
