"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.08280804897218479,0.13248276982358007,0.0,0.0,0.0,0.0,0.4225599099233236,0.03168754728391764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.39963908973822915,0.5675211538734185,0.0,0.0,0.0028720672824649436,0.0,0.9126201423078661,0.060242718967967984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.4762818399691961,0.151598683934334,0.0,0.0,0.0068798530905209215,0.0,0.9361855523273533,0.0651928632833341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.3054324858126979,0.2108010185939069,0.0,0.0,0.008596440195535442,0.0,0.48870417774390507,0.06439562471451073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.029441054276337156,0.0,0.0,0.0073566624892656245,0.0,0.0,0.06650194704556667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.014208549543434252,0.0,0.0,0.009471465014242956,0.0,0.0,0.06664867702356189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.31658644953306736,0.010975159179193093,0.0,0.0,0.010884488133712768,0.0,0.4922352044655553,0.06665736019376384,0.0838270151237691,0.0,0.0,2.56243319450789E-4,0.0,0.0,0.0,
0.8333333,0.7042592257882306,0.0350207466708576,NaN,0.0,0.010477216534842897,NaN,1.0075160968258259,0.0666446522161488,NaN,0.0,0.0,NaN,0.0,0.0,NaN,
0.9166667,0.611105949892129,0.07166672860178008,NaN,0.0,0.013700273546938336,NaN,0.9774934741272829,0.06660704736358886,NaN,0.0,0.0,NaN,0.0,0.0,NaN,
