"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.1573056052755137,0.0,0.0,0.0,0.0,0.0,0.4437882607586439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.4071818342695604,1.72156405694648E-4,0.0,0.0,0.0068763257290498465,0.0,0.5217018248138618,0.185831196101576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.0012285441031424488,0.0,0.0,0.02461286188857156,0.0,0.0,0.18583305829308677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.6008447785209694,0.012276131368176384,0.0,0.0,0.02114267826986707,0.0,1.3324888862322208,0.18584189171718699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.05343681371606837,0.0,0.0,0.021848791998579135,0.0,0.0,0.1857882099112606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.18518674331300777,0.0,0.0,0.024548223265809528,0.0,0.0,0.18579813274240503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.7298499403135852,0.41698700543595724,0.0,0.0,0.023925880564697202,0.0,0.6382507990791361,0.18340455816078263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.6317550006917125,0.4356642186164629,NaN,0.0,0.01183640676709644,NaN,0.6008860078342709,0.18333489569724964,NaN,0.0,0.0,NaN,0.0,0.0,NaN,
0.9166667,0.0,0.6307025568851349,0.0,0.0,0.023507046397470078,0.016388819121546525,0.0,0.18074786052011052,0.33190674293477196,0.0,0.0,0.03933473865670502,0.0,0.0,0.0,
1.0,2.0553898969331743,0.46324088540593744,0.0,0.0,0.02346619555083103,0.006462213438514841,1.533127780696632,0.1809156928806242,0.24219345871568482,0.0,0.0,0.03839126521975665,0.0,0.0,0.0,
