"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0018604885657186013,0.0,0.40000000000000013,0.04999986561385697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0170599347447389,0.0,0.0,0.04999968748619004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,1.578292263367913E-4,0.0,0.0,0.018183723269505465,0.0,0.0,0.049999682785038704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.0012508818391427602,0.0,0.0,0.01819420863762508,0.0,0.0,0.050000017573076344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.6472331434432029,0.0035447939614164517,0.0,0.0,0.016536298558304185,0.0,0.9891099321320205,0.049982742940309355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.7414134219352988,0.07902079941855872,0.0,0.0,0.012712372375351678,0.0,1.0193414612922882,0.049694953591201935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.4982380846307288,0.11679395863453673,0.0,0.0,0.009459633966699105,0.0,0.5527456887166045,0.04976677493470683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.1132050826431768,0.0,0.0,0.01400914198331551,0.0,0.0,0.04986979212257665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.12389673805155628,0.0,0.0,0.013171283974448353,0.0,0.0,0.04999262015554339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.1476672970215633,0.0,0.0,0.013817366690873653,0.0,0.0,0.04993692291024136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.1853498078831137,0.24448234510655198,NaN,0.0,0.013918477320940544,NaN,1.1753304940701743,0.04963214197025043,NaN,0.0,0.0,NaN,0.0,0.0,NaN,
1.0833334,1.0820404704116964,0.288904099017601,0.0,0.0,0.012981808568296468,9.87448629961172E-5,1.135702145818664,0.04930590177954569,0.5586717765351041,0.0,0.0,0.03320030337205704,0.0,0.0,0.0,
1.1666666,0.5254265080709993,0.6923595822233645,0.0,0.0,0.011597427172985638,0.001301895631655445,0.5622951490926612,0.04859296922942831,0.05122325523114174,0.0,0.0,0.0291724186617476,0.0,0.0,0.0,
1.25,0.0,0.301583383727125,0.001814798663673629,0.0,0.015149916879567769,0.0055874802884399825,0.0,0.049577520220101416,0.06085992852466411,0.0,0.0,0.02926182848763306,0.0,0.0,0.0,
1.3333334,0.0,0.31310795270249014,0.0,0.0,0.015039535045218058,0.004957548478803134,0.0,0.04955951636617557,0.07360859555916796,0.0,0.0,0.029339982735122328,0.0,0.0,0.0,
1.4166666,0.0,0.3938154298556388,3.8984560817743435E-4,0.0,0.012842592933358089,0.0023522889658706653,0.0,0.04974467018737939,0.07139326499951075,0.0,0.0,0.029336089746234605,0.0,0.0,0.0,
1.5,0.7864323965355644,0.32024758256462493,0.0,0.0,0.009398269935666854,0.004024920166647678,1.034148305910543,0.049583279031892205,0.05965334011743001,0.0,0.0,0.02924566578037053,0.0,0.0,0.0,
1.5833334,0.6679699118975626,0.33833805821265095,0.0,0.0,0.011515962955512824,0.005228908365060391,0.9955915265982813,0.049936833375874165,0.05438810811725223,0.0,0.0,0.029195617659049097,0.0,0.0,0.0,
1.6666666,0.25523880716882885,0.33163921029408583,0.03398007515632349,0.0,0.008849139308532906,0.00300389590886643,0.4730743328289912,0.04918577397062647,0.055872318749883514,0.0,0.0,0.029458944278440893,0.0,0.0,0.0,
1.75,0.0,0.2483988020276772,0.0,0.0,0.007725734752013717,0.00464245848495618,0.0,0.049828912435966384,0.051109492918660085,0.0,0.0,0.02917941855360088,0.0,0.0,0.0,
1.8333334,0.0,0.28902928535448713,0.016951474650237056,0.0,0.007952788718129343,0.0047044143889277915,0.0,0.04988570492409757,0.05931080282654827,0.0,0.0,0.029363162256348288,0.0,0.0,0.0,
1.9166666,0.0,0.3102536903499047,0.0,0.0,0.008251958563410482,0.003931981534590894,0.0,0.04973772625652928,0.05577168364309271,0.0,0.0,0.029213197907579938,0.0,0.0,0.0,
2.0,0.9231478380718773,0.34386089776047724,7.1634720051795025E-6,0.0,0.007784271410104283,0.005461228749284355,1.081970451077137,0.04966397704956754,0.052582391032405376,0.0,0.0,0.029181074790279544,0.0,0.0,0.0,
2.0833333,0.6496783388097069,0.7091221488614619,0.0037746034805298478,0.0,0.005739256542588165,0.005694410077525282,0.9898454690077476,0.04834609497969365,0.05269543913612452,0.0,0.0,0.029177748015435073,0.0,0.0,0.0,
2.1666667,0.49591611550682785,1.0989764010994796,3.1903783466218992E-9,0.0,0.003620952921724265,0.00431404714450409,0.5519361266507284,0.047275400101681755,0.051504268194735435,0.0,0.0,0.029176203721725615,0.0,0.0,0.0,
2.25,0.0,0.548496660609213,0.0,0.0,0.006937621219725847,0.003397853734091158,0.0,0.04899160755803712,0.050200195049295904,0.0,0.0,0.02916881493217409,0.0,0.0,0.0,
