"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8298235,NaN
0.5833333,112.23757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.160284,NaN
0.6666667,112.23757,NaN,NaN,NaN,NaN,NaN,NaN,10.408169,NaN,12.019654,NaN
0.75,112.23757,9.589863,NaN,NaN,NaN,NaN,9.956901,10.703521,NaN,12.782914,12.180241
0.8333333,112.23757,10.036545,10.5949955,NaN,NaN,12.881631,9.918143,11.343915,NaN,14.102563,12.847321
0.9166667,112.23757,10.590451,8.790102,NaN,NaN,15.011569,9.306249,12.085917,51.18016,15.5156765,13.5603485
1.0,112.23757,11.5808,8.847084,NaN,10.370457,11.438219,9.613959,12.512811,51.48289,16.274118,13.436753
1.0833334,105.80687,12.601534,8.917044,12.24544,10.593215,12.499217,9.93513,12.861575,51.691223,17.50447,14.39938
1.1666666,104.47012,13.568444,9.193901,12.593922,9.861344,13.186375,10.135818,13.249596,52.044605,17.87463,15.375968
1.25,104.95956,13.197491,9.522691,13.775679,10.483032,12.809087,10.419207,13.512673,52.37745,17.934221,16.144913
1.3333334,105.01857,12.755314,10.329338,12.599831,10.585688,13.159346,10.880445,13.67956,52.82632,17.250015,15.83316
