"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,1.418147,1.3999271,NaN,NaN,8.409621,NaN,3.6648746,NaN
0.6666667,NaN,NaN,NaN,1.3526351,1.5063696,NaN,NaN,8.862291,NaN,3.703984,NaN
0.75,112.23757,NaN,0.6224123,1.3334093,1.5275571,NaN,3.2511852,5.6166663,45.74981,3.7384589,3.9383967
0.8333333,112.23757,4.6335754,0.64535785,1.3774819,1.5853904,1.9561081,2.3772304,5.6282034,46.920853,3.7797194,4.0923796
0.9166667,112.23757,4.9231153,0.6758547,1.3940393,1.6395893,2.076681,2.4955254,5.99207,48.03442,3.8365512,4.1915474
1.0,112.23757,5.1398644,0.7863564,1.4165787,1.7885643,2.1980321,2.5972667,6.404234,49.087555,3.8920536,4.2815833
1.0833334,112.23757,5.3649535,0.9909785,1.4567915,1.8479728,2.2966225,2.6394956,6.434798,49.926052,4.0530357,4.4522786
1.1666666,112.23757,5.5783896,2.262898,1.5316195,1.9515615,2.416584,2.739442,6.8045983,50.73433,4.267125,4.728594
1.25,97.96399,5.75417,5.495715,1.6302831,2.1152198,2.623754,3.0069726,6.728674,50.423878,4.525305,4.9722304
