"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,4528.189,0.0,6178.0596,0.0,0.0,0.0,0.0,0.0,12.636159,0.0,0.0,0.0,1232.0151,0.0,0.0,0.0,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,17482.13,0.0,14968.739,0.0,0.0,0.0,1.5158547,0.0,301.06207,0.0,0.0,0.0,5446.2495,0.0,22.613625,0.0,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
0.33333334,117.61433,0.0,24.714275,0.0,31651.135,0.0,27954.232,0.0,16949.225,0.0,0.0,0.0,166.32811,0.0,2202.2524,0.0,6384.352,0.0,8716.417,0.0,1204.9424,0.0,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
0.41666666,3018.6633,0.0,2694.079,0.0,33558.227,0.0,29632.219,0.0,16365.257,0.0,1404.6671,0.0,1387.2313,0.0,9535.046,0.0,8599.191,0.0,10898.088,0.0,7756.601,0.0,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
0.5,16181.182,0.0,21792.22,0.0,31658.207,0.0,28562.262,0.0,15779.194,0.0,6193.2964,0.0,2616.0498,0.0,24615.217,0.0,8576.1875,0.0,12305.984,18.3868,15820.058,0.0,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
0.5833333,25573.922,21184.564,54112.48,0.0,39098.746,0.0,27588.574,0.0,16165.522,0.0,9445.693,0.0,3958.5837,0.0,43723.906,0.0,8731.49,0.0,12908.84,130.43346,20509.418,0.0,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
0.6666667,863.9734,82688.266,83454.484,0.0,38690.54,0.0,29200.922,0.0,25015.469,0.0,11480.035,0.0,5444.9526,0.0,59584.734,6688.8384,8955.886,0.0,13799.762,465.6706,23288.76,207.31847,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
0.75,0.0,73095.56,102792.4,3221.5322,45561.664,0.0,31314.262,0.0,28073.719,0.0,11972.952,0.0,6021.239,5.9030015E-5,47516.22,40792.395,9180.523,0.0,13899.616,1472.8534,26421.479,1198.6249,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
0.8333333,466.5264,58306.074,112604.92,16929.504,60838.44,400.34946,32421.662,0.0,30673.484,0.0,12555.198,0.16428994,6146.2144,0.02846328,46709.355,66354.055,15889.136,0.0,13827.873,3147.0518,26732.242,4009.0818,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
