"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6864362,NaN
0.5833333,3.6984515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7379847,NaN
0.6666667,3.6534162,NaN,NaN,NaN,NaN,NaN,NaN,3.7035625,NaN,3.7245562,NaN
0.75,3.6335657,3.5286767,NaN,NaN,NaN,NaN,3.000459,3.7102485,NaN,3.8011591,3.7942796
0.8333333,3.666255,3.6239338,4.1929026,NaN,NaN,3.5376022,3.6511836,3.740563,NaN,3.8720691,3.8104558
0.9166667,3.6877975,3.6035626,3.6621194,NaN,NaN,4.7147417,3.0008745,3.6795008,4.414478,3.8580806,3.667644
1.0,3.700645,3.6320097,3.5413425,NaN,3.020665,3.002397,3.4356613,3.6645272,4.1272917,3.8359408,3.7657285
1.0833334,3.733122,3.572435,3.5742884,3.0,3.4098322,3.2334359,3.0492682,3.6526246,4.15292,3.8766208,3.7244809
1.1666666,3.6953619,3.547157,3.5675752,3.7400062,3.2703407,3.5394795,3.4773018,3.6373558,4.0826793,3.8318875,3.6861672
1.25,3.7538676,3.5295582,3.5095,3.0975342,3.215854,3.1190264,3.1769028,3.5696843,4.0872684,3.8604138,3.6721437
