"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,3.051201,3.0754807,NaN,NaN,3.579351,NaN,3.2246988,NaN
0.6666667,NaN,NaN,NaN,3.0485487,3.0332072,NaN,NaN,3.6712902,NaN,3.2967262,NaN
0.75,3.5992026,NaN,3.6219754,3.0794065,3.0519073,NaN,3.0325072,3.656804,4.147771,3.3574357,3.5244505
0.8333333,3.6664307,3.6118538,3.7846155,3.0828252,3.071507,3.103701,3.057053,3.6571338,4.1880865,3.4548218,3.633335
0.9166667,3.6878026,3.5846093,3.6272209,3.0715673,3.0903544,3.1041002,3.03849,3.6226854,4.195772,3.549713,3.556362
1.0,3.7005956,3.55661,3.5790918,3.0794797,3.0804136,3.1063547,3.0625272,3.618368,4.171451,3.6167095,3.6061616
1.0833334,3.7239928,3.5326755,3.6074862,3.1439722,3.0976574,3.177176,3.0935988,3.617998,4.1579733,3.7111156,3.5872934
1.1666666,3.765384,3.521619,3.5807567,3.1020768,3.1281645,3.0985115,3.1217277,3.6079943,4.089602,3.7135658,3.575208
1.25,3.7031908,3.5171099,3.5105636,3.0786595,3.1146972,3.1932454,3.1352742,3.5560286,4.099932,3.7630455,3.5778623
