"Mean biomass (tons), excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5833333,0.0,0.0,0.0,2924.2551,4738.1016,0.0,0.0,4320.2354,0.0,653.99854,0.0
0.6666667,0.0,0.0,0.0,12645.508,14114.149,0.0,0.0,30184.174,0.0,3015.0264,0.0
0.75,18965.166,0.0,2684.0706,18525.383,13377.59,0.0,1200.4901,65437.86,2046.5878,5741.5293,11528.937
0.8333333,50768.06,59259.344,10914.989,17128.18,12806.04,2008.7987,3346.1821,99800.42,9242.985,7877.0664,27046.113
0.9166667,41573.84,129585.76,13580.521,13441.421,11818.656,8820.512,4218.756,120786.09,9488.205,10950.608,32765.72
1.0,33181.117,170201.55,47197.094,9585.563,14230.79,10788.343,4611.84,141281.81,9752.296,14208.409,34995.29
1.0833334,26482.68,185743.94,55998.973,7140.022,19171.553,10006.52,4150.2725,160726.73,9822.448,17472.979,36362.81
1.1666666,21136.486,202950.47,63583.965,5487.449,21534.469,9007.066,3494.6238,175557.16,9820.226,21206.83,38527.48
1.25,59960.8,223937.48,71437.0,4423.8467,18563.059,9085.495,3025.5203,185235.98,12047.862,24630.498,44253.38
1.3333334,142373.3,254433.4,90268.664,2840.7078,17434.592,9670.926,2668.7441,191660.19,19280.21,28125.727,47600.66
1.4166666,114198.3,281467.56,100404.516,2118.3262,14799.157,10733.263,2313.3533,197648.69,19171.064,31200.242,49124.49
1.5,93793.22,296067.38,108481.625,1676.4843,14357.238,10379.592,1885.2133,197864.11,18856.258,32983.863,49247.8
1.5833334,77221.97,304032.88,119852.64,1373.115,14302.828,9094.86,1544.5526,196491.73,18686.105,34328.96,47693.594
1.6666666,63456.105,310340.78,123531.57,1334.0149,12907.9795,8552.456,1431.224,194666.56,18382.588,35814.26,46591.77
1.75,102117.45,315019.72,119547.04,1324.7367,11534.261,8561.543,1285.9496,188023.92,20082.154,36739.336,47127.65
1.8333334,208982.52,327646.53,112391.66,1354.4471,9369.048,7794.9175,1177.0312,184476.77,26080.271,36973.742,49055.516
1.9166666,161784.78,344200.78,106066.71,1276.5245,7948.6978,7138.079,1133.2292,182686.36,25509.96,37425.465,50857.105
2.0,134643.83,353714.7,105546.414,1124.9106,6805.279,6272.4688,1125.683,180915.66,24836.104,39451.11,52623.68
2.0833333,113566.26,357464.22,104291.125,1058.4924,5924.562,5618.304,1060.6749,179192.36,23920.209,41659.523,54999.22
2.1666667,96958.945,357753.72,96564.35,1019.65393,4583.2036,5001.503,1031.2867,176549.19,22950.637,44782.984,56622.887
2.25,140319.1,356396.25,86643.555,940.23346,3911.2437,4438.7866,1032.0819,173063.9,23664.744,44511.59,57944.33
2.3333333,266007.38,362825.72,76426.94,906.1572,3404.132,4174.6978,1147.76,168745.58,27865.67,43979.883,60132.0
2.4166667,207520.19,366771.97,67210.78,872.21204,3269.8484,5071.9155,1270.294,167917.95,26674.541,43227.39,61516.59
2.5,181957.8,368147.72,54325.16,887.10254,3231.583,5249.7876,1360.0833,165749.56,25459.645,43471.52,62214.0
2.5833333,162971.89,369922.4,44717.645,903.07886,3313.958,4993.9946,1417.4485,164609.95,24295.387,44933.66,63208.824
2.6666667,143636.89,369826.0,34827.86,897.12726,3381.3606,5022.0996,1386.3777,165025.22,23228.107,47600.188,64388.145
2.75,175119.03,365508.44,24537.492,942.2036,3213.887,5098.9106,1351.2158,164777.05,23757.787,49344.98,65755.234
2.8333333,269706.28,367045.03,44015.164,984.96436,3142.6611,5365.0293,1490.4602,163423.86,27639.867,49017.723,67170.016
2.9166667,180998.84,369408.4,45128.42,1001.517,3117.317,6385.3403,1790.3345,164260.67,26346.324,49333.24,67986.9
3.0,159679.16,370784.8,45366.1,992.7277,3537.687,7110.7676,1847.7214,163985.73,25124.695,51197.543,68630.984
3.0833333,146537.5,368534.75,50464.188,977.69446,4236.2544,7022.9844,1642.5787,162306.8,23945.95,54292.07,69221.91
3.1666667,132782.98,363282.22,52516.945,943.0704,4791.589,6624.6133,1579.3678,161343.58,22857.412,54095.34,69793.35
3.25,158738.77,358805.9,54307.51,925.2566,4404.883,6171.321,1567.9227,158904.62,23517.72,55255.73,69601.37
3.3333333,228234.02,277699.28,69353.62,930.9013,4252.635,6032.4336,1811.319,157846.53,27547.309,57027.863,70294.04
3.4166667,143467.67,189840.34,75373.38,939.76434,4209.7446,7078.1743,1892.6583,156894.78,26225.643,55651.223,71851.72
3.5,124643.766,165760.69,78843.28,945.87506,4188.7397,7628.159,1924.0194,154636.16,24914.58,54671.31,73123.54
3.5833333,110023.69,169549.6,82711.11,951.238,4362.2163,7766.575,1947.3079,154002.58,23769.352,53118.426,73857.72
3.6666667,96718.26,171613.06,82303.58,1090.8225,5372.5215,7549.0874,2027.5474,152867.75,22742.941,52009.24,74755.336
3.75,121405.95,173055.05,77212.91,1150.5781,5165.969,7175.677,2012.7726,152318.83,23339.479,51303.383,75131.61
3.8333333,192242.64,170933.4,82797.6,1198.7654,5039.9375,7924.6733,2235.3481,150104.77,27426.69,50274.652,75198.87
3.9166667,132973.39,171276.62,85304.484,1185.5709,5174.653,9443.849,2095.2532,150189.98,26345.666,49824.875,75227.61
4.0,113203.62,181339.23,90445.414,1240.2834,5152.151,9690.941,2117.749,150587.52,25272.188,49596.777,75628.49
