"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5399574,0.0
0.5833333,658.52185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2487178,0.0
0.6666667,1760.8699,0.0,0.0,0.0,0.0,0.0,0.0,306.11124,0.0,10.353568,0.0
0.75,1440.0132,125.11614,0.0,0.0,0.0,0.0,3.6984822E-8,1793.3134,0.0,21.70396,11.535577
0.8333333,1148.9465,638.35016,20.950205,0.0,0.0,0.004340396,1.757145E-5,2824.2825,0.0,38.505627,63.015232
0.9166667,916.8462,1404.3734,331.52954,0.0,0.0,0.0064248038,0.0015378696,3476.7603,3.8494153,61.04908,164.0489
1.0,731.9525,2010.293,647.0174,0.0,0.10817102,0.2606089,0.017432204,4217.641,18.382124,91.96715,318.12228
1.0833334,1375.1256,2530.875,982.1498,5.0896062E-5,0.26864734,1.0122107,0.050149713,5018.0947,31.867138,127.76807,378.53802
1.1666666,3301.5464,3081.9724,1386.0833,0.025834635,3.4902601,3.4179265,0.12241293,5393.56,41.536324,163.63725,446.45813
1.25,3109.3203,3841.8625,1784.041,0.036113434,4.02507,4.662476,0.17521463,5660.07,49.961956,196.98091,509.49982
1.3333334,2616.9878,4697.54,2464.298,0.15256692,8.020569,6.1962557,0.2193848,5977.492,54.81923,226.44931,603.1641
1.4166666,2095.2754,5330.754,3152.797,0.31907448,12.968949,8.596609,0.2562587,6083.8774,61.66819,250.90865,648.75757
1.5,1849.9958,5696.2144,3413.6418,0.47445667,22.349255,13.711988,0.25899568,6039.56,71.41873,271.8655,677.6802
1.5833334,2298.6426,6034.935,3792.2336,0.6393872,25.448206,19.418222,0.2760572,6078.766,77.274124,285.83127,698.79333
1.6666666,4767.8833,6465.886,4123.369,0.917945,29.491602,24.288935,0.28618965,6101.7495,84.28057,296.2485,732.2808
1.75,4387.314,6906.7393,4275.041,1.5610774,34.12228,28.314888,0.3010508,5967.6426,92.103935,304.29767,778.4911
1.8333334,3300.8787,7373.0356,4215.159,3.4931624,37.910446,31.761122,0.33282658,5977.852,95.17513,310.2682,823.7096
1.9166666,2294.5876,7645.269,4319.0645,3.9105735,45.036842,43.810898,0.34967607,6019.013,98.221375,317.3479,859.0187
2.0,1903.3564,7800.612,4104.6367,5.481681,49.080692,47.067005,0.37647218,6037.6484,99.43023,336.76535,893.074
2.0833333,2035.192,7841.423,4013.3777,6.34669,50.506115,47.947784,0.41275236,6073.748,97.735245,351.26343,989.4948
2.1666667,3797.1294,7866.6714,3954.6438,6.7294025,52.4559,48.16694,0.45342928,6008.5845,95.71311,386.49603,1078.7225
2.25,3920.6982,7981.6133,3588.1016,8.240356,52.166283,51.01543,0.4758343,5866.2163,93.60346,382.9482,1135.1165
2.3333333,3050.532,8193.756,3203.4456,9.0238905,52.868725,52.226162,0.48854193,5806.923,93.383194,376.3687,1234.8799
2.4166667,1753.6233,8438.404,2813.5127,9.795126,54.266544,59.787148,0.49333504,5733.114,91.433464,374.14447,1310.5087
2.5,1423.3188,8749.866,2270.5437,10.45498,62.108635,63.849026,0.50108755,5643.6685,89.55992,385.5777,1342.4808
2.5833333,1500.0304,9064.451,1837.4191,11.198713,64.19122,67.01378,0.5214527,5562.3696,86.647896,411.28607,1358.4745
2.6666667,2371.2854,9152.903,1412.6558,11.992935,66.95465,71.31091,0.52029973,5542.261,84.53541,427.71127,1432.8461
2.75,2319.7607,9151.688,1008.2828,13.592884,68.344185,71.8572,0.53008693,5606.8135,81.33401,424.9071,1486.0355
2.8333333,1889.1324,9415.631,1424.392,14.7674465,67.911644,81.39669,0.62093467,5580.1865,78.63731,420.9576,1522.4943
2.9166667,1128.0225,9596.106,1328.9078,15.672145,74.94939,85.11719,0.68620384,5538.5605,75.17888,426.32883,1600.18
3.0,895.02075,9546.8955,1247.471,15.901865,85.206184,84.38396,0.70032585,5548.969,71.96375,438.05643,1652.5676
3.0833333,1164.2417,9556.843,1364.7903,16.033176,86.65094,85.410614,0.68283,5453.1553,70.108475,446.89938,1682.6877
3.1666667,2404.9636,9454.977,1746.8585,16.122839,104.90344,87.03391,0.68367326,5367.1265,67.4725,443.7433,1712.7303
3.25,2490.6072,9462.07,1843.7626,16.738373,107.28018,86.92959,0.6987456,5293.575,66.30137,438.24353,1710.318
3.3333333,2516.5527,7661.9326,2168.4626,16.760973,110.08177,86.31031,0.7276931,5297.982,64.34945,467.74652,1707.1224
3.4166667,1135.3414,5463.063,2556.658,18.080761,112.436615,86.98412,0.72613925,5263.71,61.602318,461.17026,1743.5547
3.5,1035.0671,4515.0337,2791.177,19.601547,112.868965,89.366035,0.7114982,5206.709,58.82523,456.42242,1854.7697
3.5833333,1520.5593,4623.2905,3108.2122,20.00389,112.94404,94.20116,0.7005909,5156.025,56.11491,445.2865,1941.1053
3.6666667,3029.4663,4677.5996,3351.7979,19.659515,112.96643,102.7223,0.715235,5107.1616,53.701077,437.5123,1995.646
3.75,3337.6765,4804.787,3279.2573,18.75548,116.89093,102.77631,0.74292076,5081.424,51.68509,426.89972,1994.3663
3.8333333,2940.39,4532.3774,3227.8176,18.297297,118.45133,102.1074,0.72446316,5018.2026,50.451565,418.64105,2005.3313
